gene_id	gene_name	ctenidia	gonad	heart	juvenile	larvae
PGEN_.00g000790	PGEN_.00g000790	3289.032708	629.040641	1168.383281	340.141099	0.55676
PGEN_.00g000800	PGEN_.00g000800	0	0	0.222733	13.89357	3.27903
PGEN_.00g000810	PGEN_.00g000810	0.187374	0	0	1.559807	1.460808
PGEN_.00g000820	PGEN_.00g000820	0	0	0	24.647041	86.345998
PGEN_.00g000830	PGEN_.00g000830	0	0	0	0.293225	0
PGEN_.00g000840	PGEN_.00g000840	0	0	0	24.824029	3.411547
PGEN_.00g000850	PGEN_.00g000850	0	0	0	0	0
PGEN_.00g000860	PGEN_.00g000860	0	1.603222	0.018555	2.349241	0.913629
PGEN_.00g000870	PGEN_.00g000870	0	0	0	4.786245	0.204762
PGEN_.00g000880	PGEN_.00g000880	0	0	0	4.620327	0
PGEN_.00g000890	PGEN_.00g000890	0.050583	0	0	0.069893	0.182129
PGEN_.00g000900	PGEN_.00g000900	9.811231	0	5.940029	7.846105	10.899645
PGEN_.00g000910	PGEN_.00g000910	10.812717	11.483886	8.272488	8.740938	5.770961
PGEN_.00g000920	PGEN_.00g000920	3.318344	4.849466	2.402122	5.442671	2.23647
PGEN_.00g000930	PGEN_.00g000930	2.054547	0	0.90666	3.887634	4.098303
PGEN_.00g000940	PGEN_.00g000940	12.276718	0	0	3.837373	2.56775
PGEN_.00g000950	PGEN_.00g000950	19.31708	9.858453	4.973207	5.287638	10.873381
PGEN_.00g000960	PGEN_.00g000960	29.968777	323.20671	18.823474	26.213955	70.217043
PGEN_.00g000970	PGEN_.00g000970	31.500998	52.64736	15.158035	61.645308	45.617094
PGEN_.00g000980	PGEN_.00g000980	7.907401	5.438653	3.261903	6.100149	4.263906
PGEN_.00g000990	PGEN_.00g000990	0	0	0	0	0
PGEN_.00g001000	PGEN_.00g001000	14.006763	12.341824	12.92682	8.025261	11.950897
PGEN_.00g001010	PGEN_.00g001010	0	50.702786	0	3.936771	0
PGEN_.00g001020	PGEN_.00g001020	0	2.313749	0.013548	2.24865	0
PGEN_.00g001030	PGEN_.00g001030	3.936753	10.007218	5.632381	8.678525	6.79642
PGEN_.00g001040	PGEN_.00g001040	1.864581	1.37228	1.23432	3.516525	2.587418
PGEN_.00g001050	PGEN_.00g001050	0	0.025705	0.012793	1.418392	0
PGEN_.00g001060	PGEN_.00g001060	0	0	0	86.329895	1.959185
PGEN_.00g001070	PGEN_.00g001070	0.341961	2.990483	0.051284	28.079474	0.888903
PGEN_.00g001080	PGEN_.00g001080	12.767502	12.072703	10.709945	9.958439	7.872437
PGEN_.00g001090	PGEN_.00g001090	0	0	0	0	0
PGEN_.00g001100	PGEN_.00g001100	0	0	0	0	0
PGEN_.00g001110	PGEN_.00g001110	2.816794	0	0.20875	1.882759	0
PGEN_.00g001120	PGEN_.00g001120	16.436906	7.243881	0.913953	7.337324	0.225221
PGEN_.00g001130	PGEN_.00g001130	58.804556	36.618219	22.541761	34.309698	40.562277
PGEN_.00g001140	PGEN_.00g001140	1.935357	4.085896	0.988089	2.179959	2.659461
PGEN_.00g001150	PGEN_.00g001150	0	0	0	1.098752	0
PGEN_.00g001160	PGEN_.00g001160	0.757148	0	0	0.844509	0.937695
PGEN_.00g001170	PGEN_.00g001170	7.691473	9.941162	6.654011	11.341071	9.644011
PGEN_.00g001180	PGEN_.00g001180	0	0	0	0	50.35728
PGEN_.00g001190	PGEN_.00g001190	0.451367	2.234183	6.765396	0.458217	0
PGEN_.00g001200	PGEN_.00g001200	147.259343	165.250445	61.472168	123.790548	145.833392
PGEN_.00g001210	PGEN_.00g001210	2.550473	3.987071	1.285103	1.781238	3.631308
PGEN_.00g001220	PGEN_.00g001220	8.949164	3.03932	0.148255	0.586217	0.276391
PGEN_.00g001230	PGEN_.00g001230	0	0	0	0	0
PGEN_.00g001240	PGEN_.00g001240	0	0	0	0	0
PGEN_.00g001250	PGEN_.00g001250	0	0	0	0	0
PGEN_.00g001260	PGEN_.00g001260	0	0	0	0.973478	5.14566
PGEN_.00g001270	PGEN_.00g001270	2.444854	0	0.068665	2.494431	0
PGEN_.00g001280	PGEN_.00g001280	0	0	0.271577	0.015462	0
PGEN_.00g001290	PGEN_.00g001290	0	0	0	0	0
PGEN_.00g001300	PGEN_.00g001300	0	0	0.459204	0.157857	0.122758
PGEN_.00g001310	PGEN_.00g001310	13.625598	3.502274	7.191706	11.499858	0.441956
PGEN_.00g001320	PGEN_.00g001320	19.630958	10.651577	4.590393	4.62591	0.377982
PGEN_.00g001330	PGEN_.00g001330	6.459053	5.64746	0.632905	4.777972	0
PGEN_.00g001340	PGEN_.00g001340	0	0	0	0	0
PGEN_.00g001350	PGEN_.00g001350	53.971906	89.797359	62.579615	88.532313	34.681672
PGEN_.00g001360	PGEN_.00g001360	0	0	0	0	0
PGEN_.00g001370	PGEN_.00g001370	4.827561	0	0.850149	4.567159	2.266464
PGEN_.00g001380	PGEN_.00g001380	0.65686	0	0.134564	0.146727	0.250829
PGEN_.00g001390	PGEN_.00g001390	1.724898	1.64781	1.553015	3.388394	2.184599
PGEN_.00g001400	PGEN_.00g001400	7.841227	21.179963	3.978028	6.88158	0.640816
PGEN_.00g001410	PGEN_.00g001410	6.74709	1.568609	3.68282	3.849747	0.532778
PGEN_.00g001420	PGEN_.00g001420	3.679758	0	0.428919	7.929681	14.469017
PGEN_.00g001430	PGEN_.00g001430	0	0	2.629002	104.235567	27.500879
PGEN_.00g001440	PGEN_.00g001440	12.451463	7.555341	17.227918	5.16393	3.431796
PGEN_.00g001450	PGEN_.00g001450	4.707598	1.619002	6.40212	2.219896	0.786947
PGEN_.00g001460	PGEN_.00g001460	0.02085	0.037805	0.018817	24.940346	12.877675
PGEN_.00g001470	PGEN_.00g001470	0	0	0.01289	18.618036	4.904548
PGEN_.00g001480	PGEN_.00g001480	9.440561	14.504523	8.412664	23.677639	19.534013
PGEN_.00g001490	PGEN_.00g001490	0	0	0	0	0
PGEN_.00g001500	PGEN_.00g001500	32.590781	6.105799	9.999237	5.667648	0.271637
PGEN_.00g001510	PGEN_.00g001510	45.980137	9.481655	12.418954	7.975115	0.190302
PGEN_.00g001520	PGEN_.00g001520	0	0	0.078875	8.561264	9.931035
PGEN_.00g001530	PGEN_.00g001530	0	10.868202	0	0.113015	0
PGEN_.00g001540	PGEN_.00g001540	3.855344	0.10745	2.887074	10.420276	4.8049
PGEN_.00g001550	PGEN_.00g001550	0	0	0.031512	0.091589	0.469762
PGEN_.00g001560	PGEN_.00g001560	0	0	0	0.357552	0
PGEN_.00g001570	PGEN_.00g001570	0.146062	0	0	0	0
PGEN_.00g001580	PGEN_.00g001580	0	0	0	0.501925	0
PGEN_.00g001590	PGEN_.00g001590	0	0	0	1.216802	0
PGEN_.00g001600	PGEN_.00g001600	2.338818	0	0	1.309812	0.124757
PGEN_.00g001610	PGEN_.00g001610	3.462788	0	0	1.738626	0.34602
PGEN_.00g001620	PGEN_.00g001620	0	17.99608	16.959328	9.617279	0.38302
PGEN_.00g001630	PGEN_.00g001630	0	0	0.040923	1.648587	1.254173
PGEN_.00g001640	PGEN_.00g001640	4.453635	0	1.800617	2.542736	0.054529
PGEN_.00g001650	PGEN_.00g001650	122.005354	15.797929	41.478315	5.176772	4.95637
PGEN_.00g001660	PGEN_.00g001660	6.796164	7.823375	9.726026	0.057037	0.518835
PGEN_.00g001670	PGEN_.00g001670	6.840652	19.850517	25.115417	7.366395	0.322412
PGEN_.00g001680	PGEN_.00g001680	0	0	0.478143	0.083004	0
PGEN_.00g001690	PGEN_.00g001690	16.904653	8.428185	6.737196	12.597793	4.135339
PGEN_.00g001700	PGEN_.00g001700	15.869321	39.729767	28.996495	15.321543	28.11637
PGEN_.00g001710	PGEN_.00g001710	0	0	0	0.362828	0
PGEN_.00g001720	PGEN_.00g001720	27.470893	7.218408	0.820548	19.760041	15.453238
PGEN_.00g001730	PGEN_.00g001730	427.61457	433.097935	324.366008	603.338837	829.035621
PGEN_.00g001740	PGEN_.00g001740	2.440258	10.126903	5.358309	8.138546	10.3895
PGEN_.00g001750	PGEN_.00g001750	3.880004	0	0	7.433626	10.748121
PGEN_.00g001760	PGEN_.00g001760	90.982447	0	0.087807	59.704753	3.872109
PGEN_.00g001770	PGEN_.00g001770	2.729009	0	1.733419	6.984356	2.318307
PGEN_.00g001780	PGEN_.00g001780	29.761219	47.811062	14.686515	39.527184	37.860353
PGEN_.00g001790	PGEN_.00g001790	0.699435	0	0	0.236881	225.830119
PGEN_.00g001800	PGEN_.00g001800	0.448067	0	0	0.022999	2333.752223
PGEN_.00g001810	PGEN_.00g001810	2.41415	0	0	1.907084	0.789924
PGEN_.00g001820	PGEN_.00g001820	38.677498	0	0.145087	2.878544	0.703057
PGEN_.00g001830	PGEN_.00g001830	0	0	0	0	0
PGEN_.00g001840	PGEN_.00g001840	299.44706	4.285281	0.75098	50.489517	21.122596
PGEN_.00g001850	PGEN_.00g001850	157.945662	11.409193	7.415479	5.960789	31.983294
PGEN_.00g001860	PGEN_.00g001860	0	0	0	0	0
PGEN_.00g001870	PGEN_.00g001870	8.334108	3.018667	1.567133	4.509098	51.484489
PGEN_.00g001880	PGEN_.00g001880	15.39653	6.485359	1.26894	13.469834	11.068718
PGEN_.00g001890	PGEN_.00g001890	8.646786	1.373758	0.994461	8.283856	7.546494
